"iperf","sysbench","ycruncher","pgbench","set","vm"
949,8.4517,7.533,62942.3333333333,9,6
923,8.4477,7.598,62942.3333333333,9,6
945,8.4561,7.554,62942.3333333333,9,6
930,8.4452,7.557,62942.3333333333,9,6
997,8.4625,7.487,54924,9,7
1171,8.4529,7.503,56092,9,7
1050,8.4531,7.516,55946,9,7
956,8.4559,7.571,55654,9,7
904,8.4531,7.512,55654,9,7
913,8.4606,7.542,55654,9,7
934,8.4597,7.543,55654,9,7
915,8.4749,7.57,55654,9,7
913,8.4577,7.545,55654,9,7
1056,8.459,7.547,55654,9,7
1218,8.4471,7.525,58751,9,8
1195,8.4547,7.557,58001,9,8
1059,8.4569,7.57,57492,9,8
893,8.4571,7.595,58081.3333333333,9,8
911,8.4558,7.54,58081.3333333333,9,8
888,8.4512,7.567,58081.3333333333,9,8
909,8.4693,7.577,58081.3333333333,9,8
899,8.4585,7.608,58081.3333333333,9,8
907,8.4523,7.562,58081.3333333333,9,8
1076,8.4527,7.571,58081.3333333333,9,8
1216,8.4622,7.228,70716,9,9
1002,8.4484,7.218,69469,9,9
972,8.4502,7.211,70852,9,9
1201,8.4541,7.24,70345.6666666667,9,9
1185,8.4512,7.219,70345.6666666667,9,9
1224,8.4542,7.23,70345.6666666667,9,9
1132,8.4554,7.235,70345.6666666667,9,9
1184,8.4535,7.252,70345.6666666667,9,9
1219,8.4589,7.234,70345.6666666667,9,9
1163,8.4454,7.22,70345.6666666667,9,9
888,8.4513,7.492,56960,10,1
908,8.4469,7.616,57983,10,1
1176,8.4516,7.543,57139,10,1
1233,8.4481,7.565,57360.6666666667,10,1
1134,8.449,7.541,57360.6666666667,10,1
984,8.4516,7.541,57360.6666666667,10,1
892,8.452,7.561,57360.6666666667,10,1
830,8.4615,7.622,57360.6666666667,10,1
754,8.4508,7.607,57360.6666666667,10,1
878,8.4502,7.558,57360.6666666667,10,1
490,8.4547,7.494,62728,10,2
929,8.4517,7.619,63971,10,2
964,8.4601,7.531,63566,10,2
877,8.4532,7.546,63421.6666666667,10,2
916,8.4511,7.536,63421.6666666667,10,2
960,8.451,7.529,63421.6666666667,10,2
922,8.4534,7.561,63421.6666666667,10,2
823,8.4704,7.594,63421.6666666667,10,2
440,8.4514,7.585,63421.6666666667,10,2
862,8.4488,7.561,63421.6666666667,10,2
1199,8.4535,7.534,62660,10,3
938,8.4484,7.653,61156,10,3
975,8.4553,7.581,63811,10,3
926,8.4545,7.583,62542.3333333333,10,3
751,8.4518,7.563,62542.3333333333,10,3
901,8.4507,7.563,62542.3333333333,10,3
569,8.4679,7.567,62542.3333333333,10,3
878,8.4643,7.619,62542.3333333333,10,3
1245,8.4526,7.578,62542.3333333333,10,3
918,8.4576,7.585,62542.3333333333,10,3
1002,8.4552,7.281,53905,10,4
933,8.4522,7.312,50870,10,4
911,8.4537,7.286,57766,10,4
922,8.4512,7.298,54180.3333333333,10,4
915,8.4531,7.287,54180.3333333333,10,4
911,8.4671,7.313,54180.3333333333,10,4
936,8.4508,7.326,54180.3333333333,10,4
902,8.4513,7.302,54180.3333333333,10,4
785,8.4578,7.309,54180.3333333333,10,4
1077,8.451,7.285,54180.3333333333,10,4
1155,8.4584,7.45,53242,10,5
902,8.4462,7.584,50304,10,5
917,8.4514,7.532,49334,10,5
860,8.4508,7.529,50960,10,5
871,8.4572,7.519,50960,10,5
907,8.4518,7.53,50960,10,5
995,8.4639,7.536,50960,10,5
864,8.457,7.562,50960,10,5
971,8.4523,7.581,50960,10,5
1205,8.4649,7.567,50960,10,5
1166,8.4516,7.465,63085,10,6
867,8.4515,7.608,63048,10,6
485,8.448,7.535,63329,10,6
898,8.4502,7.541,63154,10,6
848,8.4546,7.523,63154,10,6
907,8.4586,7.548,63154,10,6
1249,8.4458,7.551,63154,10,6
1177,8.4489,7.577,63154,10,6
1246,8.4491,7.584,63154,10,6
898,8.4447,7.545,63154,10,6
717,8.4556,7.465,56305,10,7
849,8.4478,7.606,55618,10,7
309,8.4508,7.516,54963,10,7
938,8.4572,7.524,55628.6666666667,10,7
1015,8.4532,7.536,55628.6666666667,10,7
950,8.4566,7.536,55628.6666666667,10,7
917,8.4511,7.53,55628.6666666667,10,7
713,8.4596,7.562,55628.6666666667,10,7
795,8.4498,7.557,55628.6666666667,10,7
849,8.4481,7.538,55628.6666666667,10,7
1025,8.4527,7.503,58968,10,8
1165,8.4574,7.642,58844,10,8
1097,8.464,7.561,58968,10,8
1190,8.4559,7.566,58926.6666666667,10,8
1116,8.4571,7.561,58926.6666666667,10,8
1170,8.4545,7.555,58926.6666666667,10,8
1237,8.4723,7.569,58926.6666666667,10,8
1151,8.452,7.594,58926.6666666667,10,8
1110,8.4507,7.604,58926.6666666667,10,8
1162,8.4515,7.578,58926.6666666667,10,8
1208,8.4537,7.279,72305,10,9
720,8.4474,7.29,71948,10,9
1203,8.451,7.261,71727,10,9
1043,8.4451,7.251,71993.3333333333,10,9
