instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.16165757,10,10,1,TPC-B (sort of),simple,60 s,59511,59511,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.23232961,10,10,1,TPC-B (sort of),simple,60 s,60203,60203,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.28327274,10,10,1,TPC-B (sort of),simple,60 s,60631,60631,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.30306888,10,10,1,TPC-B (sort of),simple,60 s,60898,60898,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.30886245,10,10,1,TPC-B (sort of),simple,60 s,60715,60715,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.18686128,10,10,1,TPC-B (sort of),simple,60 s,59960,59960,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.22805715,10,10,1,TPC-B (sort of),simple,60 s,61343,61343,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.24895144,10,10,1,TPC-B (sort of),simple,60 s,61080,61080,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.1560483,10,10,1,TPC-B (sort of),simple,60 s,61454,61454,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.1510942,10,10,1,TPC-B (sort of),simple,60 s,61261,61261,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.23749614,10,10,1,TPC-B (sort of),simple,60 s,61049,61049,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.16426587,10,10,1,TPC-B (sort of),simple,60 s,59671,59671,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.1650548,10,10,1,TPC-B (sort of),simple,60 s,60055,60055,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.25660825,10,10,1,TPC-B (sort of),simple,60 s,61466,61466,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.16129017,10,10,1,TPC-B (sort of),simple,60 s,60855,60855,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.26423335,10,10,1,TPC-B (sort of),simple,60 s,60546,60546,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.24896073,10,10,1,TPC-B (sort of),simple,60 s,61281,61281,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.16697454,10,10,1,TPC-B (sort of),simple,60 s,60423,60423,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.24988794,10,10,1,TPC-B (sort of),simple,60 s,61048,61048,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.2772615,10,10,1,TPC-B (sort of),simple,60 s,60459,60459,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.15873051,10,10,1,TPC-B (sort of),simple,60 s,61202,61202,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.179003,10,10,1,TPC-B (sort of),simple,60 s,60355,60355,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.25098228,10,10,1,TPC-B (sort of),simple,60 s,59549,59549,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.25719094,10,10,1,TPC-B (sort of),simple,60 s,59826,59826,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.32124567,10,10,1,TPC-B (sort of),simple,60 s,60833,60833,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.19776106,10,10,1,TPC-B (sort of),simple,60 s,59922,59922,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.18518233,10,10,1,TPC-B (sort of),simple,60 s,59918,59918,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.18563366,10,10,1,TPC-B (sort of),simple,60 s,61357,61357,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.18682384,10,10,1,TPC-B (sort of),simple,60 s,61646,61646,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.1824739,10,10,1,TPC-B (sort of),simple,60 s,60907,60907,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.18352127,10,10,1,TPC-B (sort of),simple,60 s,61028,61028,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.18794894,10,10,1,TPC-B (sort of),simple,60 s,62532,62532,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.18755412,10,10,1,TPC-B (sort of),simple,60 s,60194,60194,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.18614316,10,10,1,TPC-B (sort of),simple,60 s,61349,61349,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.1867919,10,10,1,TPC-B (sort of),simple,60 s,61760,61760,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.18545008,10,10,1,TPC-B (sort of),simple,60 s,61037,61037,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.18474483,10,10,1,TPC-B (sort of),simple,60 s,61338,61338,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.19012713,10,10,1,TPC-B (sort of),simple,60 s,61269,61269,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.18394542,10,10,1,TPC-B (sort of),simple,60 s,61298,61298,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.18991089,10,10,1,TPC-B (sort of),simple,60 s,61701,61701,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.19622445,10,10,1,TPC-B (sort of),simple,60 s,61809,61809,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.18334198,10,10,1,TPC-B (sort of),simple,60 s,61640,61640,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.1908462,10,10,1,TPC-B (sort of),simple,60 s,61952,61952,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.20105433,10,10,1,TPC-B (sort of),simple,60 s,61547,61547,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.19199896,10,10,1,TPC-B (sort of),simple,60 s,61707,61707,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.19139791,10,10,1,TPC-B (sort of),simple,60 s,61181,61181,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.20259523,10,10,1,TPC-B (sort of),simple,60 s,60467,60467,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.1991384,10,10,1,TPC-B (sort of),simple,60 s,62018,62018,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.19124365,10,10,1,TPC-B (sort of),simple,60 s,60474,60474,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.21167564,10,10,1,TPC-B (sort of),simple,60 s,60504,60504,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.20671701,10,10,1,TPC-B (sort of),simple,60 s,61552,61552,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.22938395,10,10,1,TPC-B (sort of),simple,60 s,59703,59703,,
i-0cd75c6739d29ff62,1531185246,c4.large,60.199965,10,10,1,TPC-B (sort of),simple,60 s,61780,61780,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.32615328,10,10,1,TPC-B (sort of),simple,60 s,54168,54168,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.2023468,10,10,1,TPC-B (sort of),simple,60 s,53283,53283,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.17978215,10,10,1,TPC-B (sort of),simple,60 s,51672,51672,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.1978035,10,10,1,TPC-B (sort of),simple,60 s,53539,53539,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.23935509,10,10,1,TPC-B (sort of),simple,60 s,54045,54045,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18667722,10,10,1,TPC-B (sort of),simple,60 s,55971,55971,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.17796206,10,10,1,TPC-B (sort of),simple,60 s,55868,55868,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.1858623,10,10,1,TPC-B (sort of),simple,60 s,55722,55722,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18663621,10,10,1,TPC-B (sort of),simple,60 s,55523,55523,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18174362,10,10,1,TPC-B (sort of),simple,60 s,55206,55206,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18808484,10,10,1,TPC-B (sort of),simple,60 s,55011,55011,,
i-00d14cee1fcf9f0c9,1531185246,c4.large,60.18317723,10,10,1,TPC-B (sort of),simple,60 s,55081,55081,,
