instanceID,instanceType,experimentID,interval,bandwidthUpload,bandwitdhDownload,Upload,Download,Total,setId,vmId,cmd,,,,,
i-0a43dd0ab0b838139,m5d.large,1567242764,15.0 sec,7.00 Gbits/sec,3.87 Gbits/sec,7,3.87,10.87,4,4,iperf -c 172.31.91.26 --dualtest --window 416k --time 15,,,,,
i-0a43dd0ab0b838139,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,5.99 Gbits/sec,9.6,5.99,15.59,4,4,iperf -c 172.31.91.26 --dualtest --window 416k --time 15,,,,,
i-0a43dd0ab0b838139,m5d.large,1567242764,15.0 sec,7.10 Gbits/sec,5.05 Gbits/sec,7.1,5.05,12.15,4,4,iperf -c 172.31.91.26 --dualtest --window 416k --time 15,,,,,
i-0a43dd0ab0b838139,m5d.large,1567242764,15.0 sec,8.08 Gbits/sec,5.26 Gbits/sec,8.08,5.26,13.34,4,4,iperf -c 172.31.91.26 --dualtest --window 416k --time 15,,,,,
i-0a43dd0ab0b838139,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,6.86 Gbits/sec,9.6,6.86,16.46,4,4,iperf -c 172.31.91.26 --dualtest --window 416k --time 15,,,,,
i-0a43dd0ab0b838139,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,7.12 Gbits/sec,9.6,7.12,16.72,4,4,iperf -c 172.31.91.26 --dualtest --window 416k --time 15,,,,,
i-0a43dd0ab0b838139,m5d.large,1567242764,15.0 sec,9.58 Gbits/sec,5.28 Gbits/sec,9.58,5.28,14.86,4,4,iperf -c 172.31.91.26 --dualtest --window 416k --time 15,,,,,
i-0a43dd0ab0b838139,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,6.38 Gbits/sec,9.6,6.38,15.98,4,4,iperf -c 172.31.91.26 --dualtest --window 416k --time 15,,,,,
i-0a43dd0ab0b838139,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,7.21 Gbits/sec,9.6,7.21,16.81,4,4,iperf -c 172.31.91.26 --dualtest --window 416k --time 15,,,,9.75284090909091,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,1.41 Gbits/sec,1.50 Gbits/sec,1.41,1.5,2.91,5,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,824 Mbits/sec,744 Mbits/sec,0.824,0.744,1.568,5,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,743 Mbits/sec,743 Mbits/sec,0.743,0.743,1.486,5,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,743 Mbits/sec,743 Mbits/sec,0.743,0.743,1.486,5,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,745 Mbits/sec,743 Mbits/sec,0.745,0.743,1.488,5,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,745 Mbits/sec,743 Mbits/sec,0.745,0.743,1.488,5,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,745 Mbits/sec,743 Mbits/sec,0.745,0.743,1.488,5,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,743 Mbits/sec,743 Mbits/sec,0.743,0.743,1.486,5,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,745 Mbits/sec,744 Mbits/sec,0.745,0.744,1.489,5,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,743 Mbits/sec,743 Mbits/sec,0.743,0.743,1.486,5,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,743 Mbits/sec,743 Mbits/sec,0.743,0.743,1.486,5,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,1.50 Gbits/sec,1.11 Gbits/sec,1.5,1.11,2.61,5,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,738 Mbits/sec,5.16 Gbits/sec,0.738,5.16,5.898,5,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,737 Mbits/sec,6.23 Gbits/sec,0.737,6.23,6.967,5,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,739 Mbits/sec,5.18 Gbits/sec,0.739,5.18,5.919,5,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,739 Mbits/sec,4.59 Gbits/sec,0.739,4.59,5.329,5,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,738 Mbits/sec,5.48 Gbits/sec,0.738,5.48,6.218,5,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,738 Mbits/sec,5.23 Gbits/sec,0.738,5.23,5.968,5,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,745 Mbits/sec,783 Mbits/sec,0.745,0.783,1.528,5,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,737 Mbits/sec,6.51 Gbits/sec,0.737,6.51,7.247,5,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
