iperf,sysbench,ycruncher,pgbench,setId,vmId
2.069,9.0331,4.483,34540,20,15
2.99,9.0209,4.491,33445,20,15
4.14,9.0221,4.473,34487,20,15
3.25,9.0273,4.52,34859,20,16
3.25,9.0363,4.502,33233,20,16
4.42,9.0167,4.511,34627,20,16
2.962,9.0318,4.312,41208,20,17
3.7,9.0225,4.302,40175,20,17
2.634,9.0233,4.301,40212,20,17
2.3,9.0203,4.461,34562,20,18
1.818,9.0366,4.481,33295,20,18
2.126,9.017,4.472,34601,20,18
2.38,9.0235,4.291,33698,20,19
3.06,9.0491,4.279,31865,20,19
3.07,9.0192,4.279,32398,20,19
1.266,9.0272,4.527,33606,20,20
1.786,9.0315,4.499,31804,20,20
3.59,9.0159,4.508,32805,20,20
2.75,9.0206,4.287,32014,21,1
1.192,9.0211,4.299,29609,21,1
2.118,9.0338,4.27,30369,21,1
2.45,9.0219,4.297,32170,21,2
1.43,9.0401,4.31,32601,21,2
1.886,9.0172,4.309,32822,21,2
0.986,9.0339,4.273,32028,21,3
1.469,9.0172,4.246,30112,21,3
1.859,9.0344,4.284,30442,21,3
2.87,9.0246,4.276,31931,21,4
1.438,9.0338,4.263,32369,21,4
1.545,9.0154,4.278,32756,21,4
2.43,9.0163,4.823,32005,21,5
1.883,9.024,4.826,30005,21,5
1.401,9.0192,4.86,30077,21,5
2.62,9.038,4.848,31963,21,6
1.44,9.0234,4.844,32386,21,6
1.96,9.0221,4.855,32535,21,6
2.244,9.0186,4.805,39433,21,7
2.201,9.0245,4.833,38686,21,7
3.19,9.0299,4.801,37510,21,7
0.99,9.0257,4.825,34114,21,8
2.347,9.0357,4.818,32937,21,8
1.763,9.0161,4.813,32549,21,8
2.94,9.0312,4.852,32033,21,9
2.076,9.0348,4.867,30038,21,9
1.669,9.017,4.863,30357,21,9
1.86,9.0175,4.284,31699,21,10
2.5,9.023,4.283,29729,21,10
1.093,9.0288,4.286,30353,21,10
2.41,9.0285,4.807,39055,21,11
2.124,9.0383,4.832,38710,21,11
1.197,9.0145,4.811,37240,21,11
2.218,9.0164,4.845,31733,21,12
1.991,9.0187,4.829,29617,21,12
1.267,9.0312,4.87,30311,21,12
4.17,9.0218,4.828,37038,21,13
3.67,9.0347,4.834,35336,21,13
3.18,9.0194,4.827,35647,21,13
2.459,9.0215,4.283,33321,21,14
2.472,9.0206,4.262,32729,21,14
3.36,9.0252,4.302,32742,21,14
2.51,9.0231,4.862,40084,21,15
1.444,9.0299,4.84,39654,21,15
3.34,9.0159,4.867,39692,21,15
3.21,9.0353,4.84,33251,21,16
3.33,9.0213,4.808,32758,21,16
0.84,9.0202,4.844,32535,21,16
2.355,9.029,4.837,33253,21,17
3.44,9.0273,4.813,32776,21,17
2.85,9.0161,4.864,32753,21,17
2.231,9.0331,4.308,39342,21,18
3.68,9.0176,4.327,39941,21,18
3.24,9.0206,4.323,39995,21,18
