experimentID,set id,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num,Standard deviation,Average
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.04141283035278,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.41ms,9.0184s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.04460430145263,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.26ms,9.0217s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.06156325340271,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.00ms,9.0352s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.04869174957275,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.07ms,9.0271s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.04200482368469,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.17ms,9.0207s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.13298034667968,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.48ms,9.0405s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.03541445732116,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.51ms,9.0152s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.03437280654907,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.45ms,9.0147s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.08036613464355,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.82ms,9.0607s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.0471966266632,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.93ms,9.0260s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.03961062431335,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.63ms,9.0165s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.05167365074157,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.88ms,9.0279s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.0548870563507,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.13ms,9.0338s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.0527503490448,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.65ms,9.0212s,2,,
1571978908-0,0,i-03fd9ceb5b105c582,m5d.large,9.05057191848754,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.30ms,9.0208s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.077885389328,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1807.52ms,9.0465s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.03669381141662,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.65ms,9.0170s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.04102277755737,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.71ms,9.0162s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.04116702079773,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.52ms,9.0178s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.08708024024963,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.49ms,9.0657s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.03909134864807,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.87ms,9.0169s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.04495024681091,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.47ms,9.0245s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.04021978378295,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.69ms,9.0204s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.03528642654419,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.15ms,9.0167s,2,,
1571978908-0,0,i-04f161bba53c1b227,m5d.large,9.03536653518676,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.96ms,9.0149s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.14971566200256,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.09ms,9.0156s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.0609118938446,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1807.32ms,9.0381s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.03966617584228,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.89ms,9.0173s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.04371333122253,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.86ms,9.0179s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.05315637588501,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.60ms,9.0286s,2,,
1571978908-0,0,i-051838e8918380892,m5d.large,9.08554577827453,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.50ms,9.0622s,2,,
