"iperf","sysbench","ycruncher","pgbench","set","vm"
848,8.4546,7.523,64155.3333333333,10,6
907,8.4586,7.548,64155.3333333333,10,6
1249,8.4458,7.551,64155.3333333333,10,6
1177,8.4489,7.577,64155.3333333333,10,6
1246,8.4491,7.584,64155.3333333333,10,6
898,8.4447,7.545,64155.3333333333,10,6
717,8.4556,7.465,63519,10,7
849,8.4478,7.606,63321,10,7
309,8.4508,7.516,62293,10,7
938,8.4572,7.524,63044.3333333333,10,7
1015,8.4532,7.536,63044.3333333333,10,7
950,8.4566,7.536,63044.3333333333,10,7
917,8.4511,7.53,63044.3333333333,10,7
713,8.4596,7.562,63044.3333333333,10,7
795,8.4498,7.557,63044.3333333333,10,7
849,8.4481,7.538,63044.3333333333,10,7
1025,8.4527,7.503,64542,10,8
1165,8.4574,7.642,65213,10,8
1097,8.464,7.561,65112,10,8
1190,8.4559,7.566,64955.6666666667,10,8
1116,8.4571,7.561,64955.6666666667,10,8
1170,8.4545,7.555,64955.6666666667,10,8
1237,8.4723,7.569,64955.6666666667,10,8
1151,8.452,7.594,64955.6666666667,10,8
1110,8.4507,7.604,64955.6666666667,10,8
1162,8.4515,7.578,64955.6666666667,10,8
1208,8.4537,7.279,63738,10,9
720,8.4474,7.29,64314,10,9
1203,8.451,7.261,63449,10,9
1043,8.4451,7.251,63833.6666666667,10,9
1204,8.4535,7.262,63833.6666666667,10,9
1119,8.447,7.271,63833.6666666667,10,9
1217,8.4521,7.273,63833.6666666667,10,9
1155,8.4584,7.259,63833.6666666667,10,9
1088,8.463,7.264,63833.6666666667,10,9
943,8.4513,7.231,63833.6666666667,10,9
1016,8.4506,7.255,63827,10,10
925,8.4518,7.284,64521,10,10
964,8.4468,7.234,64394,10,10
787,8.4501,7.268,64247.3333333333,10,10
750,8.4539,7.261,64247.3333333333,10,10
893,8.4529,7.243,64247.3333333333,10,10
777,8.455,7.242,64247.3333333333,10,10
890,8.4643,7.259,64247.3333333333,10,10
970,8.4511,7.269,64247.3333333333,10,10
900,8.4491,7.276,64247.3333333333,10,10
711,8.4601,7.535,65612,11,1
807,8.4569,7.597,65412,11,1
819,8.4526,7.563,64966,11,1
703,8.4526,7.566,65330,11,1
803,8.4461,7.603,65330,11,1
769,8.4491,7.614,65330,11,1
878,8.4524,7.577,65330,11,1
1075,8.4558,7.617,65330,11,1
849,8.458,7.573,65330,11,1
831,8.4488,7.614,65330,11,1
1126,8.46,7.531,65886,11,2
1120,8.4548,7.595,65108,11,2
828,8.4511,7.572,64725,11,2
745,8.4555,7.546,65239.6666666667,11,2
807,8.4517,7.621,65239.6666666667,11,2
759,8.4518,7.639,65239.6666666667,11,2
886,8.4518,7.588,65239.6666666667,11,2
995,8.4677,7.608,65239.6666666667,11,2
1142,8.4582,7.596,65239.6666666667,11,2
1215,8.4514,7.638,65239.6666666667,11,2
947,8.4497,7.537,64884,11,3
880,8.4489,7.617,64645,11,3
824,8.4469,7.57,62371,11,3
764,8.4515,7.564,63966.6666666667,11,3
812,8.4458,7.617,63966.6666666667,11,3
1211,8.4507,7.644,63966.6666666667,11,3
1062,8.4662,7.61,63966.6666666667,11,3
929,8.4666,7.637,63966.6666666667,11,3
931,8.452,7.608,63966.6666666667,11,3
917,8.4478,7.64,63966.6666666667,11,3
1197,8.4523,7.342,62643,11,4
1160,8.4588,7.346,62044,11,4
1161,8.4574,7.301,61714,11,4
1141,8.4507,7.334,62133.6666666667,11,4
1068,8.4519,7.326,62133.6666666667,11,4
945,8.4668,7.333,62133.6666666667,11,4
1007,8.4521,7.308,62133.6666666667,11,4
983,8.4493,7.309,62133.6666666667,11,4
1127,8.4494,7.334,62133.6666666667,11,4
1135,8.4484,7.328,62133.6666666667,11,4
979,8.4612,7.485,64450,11,5
964,8.4543,7.57,64277,11,5
861,8.45,7.549,64940,11,5
883,8.4508,7.528,64555.6666666667,11,5
955,8.4571,7.595,64555.6666666667,11,5
918,8.4509,7.605,64555.6666666667,11,5
918,8.4499,7.566,64555.6666666667,11,5
1041,8.45,7.586,64555.6666666667,11,5
970,8.4519,7.571,64555.6666666667,11,5
985,8.4641,7.592,64555.6666666667,11,5
799,8.4511,7.499,64827,11,6
989,8.4547,7.562,63867,11,6
794,8.4573,7.523,63060,11,6
1137,8.4509,7.537,63918,11,6
1090,8.4565,7.579,63918,11,6
1091,8.4628,7.606,63918,11,6
902,8.4555,7.545,63918,11,6
913,8.4527,7.598,63918,11,6
927,8.4559,7.567,63918,11,6
907,8.4503,7.594,63918,11,6
1078,8.4657,7.506,63389,11,7
1125,8.4521,7.586,63453,11,7
1141,8.4516,7.523,61986,11,7
751,8.4523,7.51,62942.6666666667,11,7
640,8.4567,7.593,62942.6666666667,11,7
783,8.457,7.602,62942.6666666667,11,7
902,8.4546,7.544,62942.6666666667,11,7
997,8.4594,7.592,62942.6666666667,11,7
914,8.4603,7.564,62942.6666666667,11,7
904,8.4536,7.6,62942.6666666667,11,7
713,8.452,7.553,65222,11,8
789,8.4522,7.6,64561,11,8
1159,8.4561,7.571,63487,11,8
1101,8.4548,7.576,64423.3333333333,11,8
1146,8.4525,7.638,64423.3333333333,11,8
1101,8.4531,7.626,64423.3333333333,11,8
1156,8.4603,7.604,64423.3333333333,11,8
1181,8.4648,7.618,64423.3333333333,11,8
857,8.4512,7.608,64423.3333333333,11,8
836,8.4532,7.64,64423.3333333333,11,8
711,8.4599,7.282,62916,11,9
949,8.4559,7.298,62501,11,9
881,8.4549,7.293,63766,11,9
874,8.4524,7.284,63061,11,9
900,8.4523,7.313,63061,11,9
876,8.4518,7.304,63061,11,9
896,8.4477,7.291,63061,11,9
966,8.4534,7.301,63061,11,9
1189,8.4515,7.316,63061,11,9
1159,8.4458,7.287,63061,11,9
927,8.4484,7.302,65007,11,10
921,8.4522,7.287,64177,11,10
878,8.4512,7.296,64860,11,10
782,8.4602,7.298,64681.3333333333,11,10
889,8.4554,7.272,64681.3333333333,11,10
813,8.4516,7.301,64681.3333333333,11,10
1038,8.463,7.29,64681.3333333333,11,10
944,8.4567,7.278,64681.3333333333,11,10
929,8.4491,7.297,64681.3333333333,11,10
946,8.4466,7.306,64681.3333333333,11,10
1080,8.4535,7.294,65640,11,11
1124,8.446,7.297,66020,11,11
1122,8.4466,7.309,64500,11,11
1049,8.4474,7.328,65386.6666666667,11,11
1138,8.4449,7.307,65386.6666666667,11,11
1106,8.4498,7.325,65386.6666666667,11,11
1115,8.4527,7.312,65386.6666666667,11,11
961,8.4684,7.328,65386.6666666667,11,11
1121,8.4582,7.307,65386.6666666667,11,11
1144,8.4498,7.299,65386.6666666667,11,11
1044,8.4552,7.796,64634,12,1
