instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions
i-07594cd3a982b9904,1532132304,c3.large,60.302918672561646,10,10,1,TPC-B (sort of),simple,60 s,57742
i-08c6b31eb62575ff9,1532132304,c3.large,60.362189531326294,10,10,1,TPC-B (sort of),simple,60 s,59243
i-08c6b31eb62575ff9,1532132304,c3.large,60.22259497642517,10,10,1,TPC-B (sort of),simple,60 s,59892
i-08c6b31eb62575ff9,1532132304,c3.large,60.18732476234436,10,10,1,TPC-B (sort of),simple,60 s,59344
i-08c6b31eb62575ff9,1532132304,c3.large,60.28000807762146,10,10,1,TPC-B (sort of),simple,60 s,59540
i-08c6b31eb62575ff9,1532132304,c3.large,60.2130184173584,10,10,1,TPC-B (sort of),simple,60 s,57898
i-08c6b31eb62575ff9,1532132304,c3.large,60.2278208732605,10,10,1,TPC-B (sort of),simple,60 s,58862
i-08c6b31eb62575ff9,1532132304,c3.large,60.283445596694946,10,10,1,TPC-B (sort of),simple,60 s,60144
i-08c6b31eb62575ff9,1532132304,c3.large,60.25936722755432,10,10,1,TPC-B (sort of),simple,60 s,59342
i-08c6b31eb62575ff9,1532132304,c3.large,60.243106842041016,10,10,1,TPC-B (sort of),simple,60 s,59988
i-08c6b31eb62575ff9,1532132304,c3.large,60.264931440353394,10,10,1,TPC-B (sort of),simple,60 s,58039
i-08c6b31eb62575ff9,1532132304,c3.large,60.24941325187683,10,10,1,TPC-B (sort of),simple,60 s,59245
i-08c6b31eb62575ff9,1532132304,c3.large,60.23895740509033,10,10,1,TPC-B (sort of),simple,60 s,58332
i-08c6b31eb62575ff9,1532132304,c3.large,60.29688096046448,10,10,1,TPC-B (sort of),simple,60 s,56603
i-08c6b31eb62575ff9,1532132304,c3.large,60.38860058784485,10,10,1,TPC-B (sort of),simple,60 s,57378
i-08c6b31eb62575ff9,1532132304,c3.large,60.33271384239197,10,10,1,TPC-B (sort of),simple,60 s,57484
i-08c6b31eb62575ff9,1532132304,c3.large,60.30903506278992,10,10,1,TPC-B (sort of),simple,60 s,56618
i-08c6b31eb62575ff9,1532132304,c3.large,60.42636489868164,10,10,1,TPC-B (sort of),simple,60 s,56483
i-08c6b31eb62575ff9,1532132304,c3.large,60.314104080200195,10,10,1,TPC-B (sort of),simple,60 s,56770
i-08c6b31eb62575ff9,1532132304,c3.large,60.31630063056946,10,10,1,TPC-B (sort of),simple,60 s,57635
i-08c6b31eb62575ff9,1532132304,c3.large,60.2755081653595,10,10,1,TPC-B (sort of),simple,60 s,56598
i-08c6b31eb62575ff9,1532132304,c3.large,60.29217076301575,10,10,1,TPC-B (sort of),simple,60 s,56745
i-08c6b31eb62575ff9,1532132304,c3.large,60.40758442878723,10,10,1,TPC-B (sort of),simple,60 s,57511
i-08c6b31eb62575ff9,1532132304,c3.large,60.29109978675842,10,10,1,TPC-B (sort of),simple,60 s,55781
i-08c6b31eb62575ff9,1532132304,c3.large,60.264477491378784,10,10,1,TPC-B (sort of),simple,60 s,57225
i-08c6b31eb62575ff9,1532132304,c3.large,60.3250515460968,10,10,1,TPC-B (sort of),simple,60 s,56370
i-08c6b31eb62575ff9,1532132304,c3.large,60.278550148010254,10,10,1,TPC-B (sort of),simple,60 s,55799
