iperf,sysbench,ycruncher,pgbench,setId,vmId
5490,7.782316923,4.85261631,175408,10,6
9180,7.775906801,4.874651194,175248,10,6
7790,7.78036356,4.86591506,175026,10,6
9650,7.776082993,4.781695843,169317,10,7
7410,7.776931047,4.773551464,168836,10,7
9120,7.779828787,4.815331221,169230,10,7
5240,7.782194138,4.747061491,165862,10,8
5600,7.783551931,4.736920357,165645,10,8
6530,7.785279036,4.751632452,165537,10,8
4710,7.178976536,4.89724493,165028,10,9
5690,7.177971363,4.865404606,164959,10,9
6680,7.176954508,4.885238647,165455,10,9
8200,7.170595407,5.010317087,166302,10,10
9490,7.171888113,4.885797501,166469,10,10
7380,7.170403957,4.870470524,166734,10,10
1122,7.787304878,4.938528299,166387,11,1
1490,7.775908709,4.904988527,166113,11,1
1487,7.775387764,4.927058697,165855,11,1
2183,7.77967906,4.938906431,167003,11,2
1490,7.776586294,4.913101673,166989,11,2
1127,7.777857065,4.893283606,166954,11,2
2434,7.788927794,4.831362486,170570,11,3
1487,7.782881737,4.821537733,169958,11,3
1527,7.77586627,4.843526363,170266,11,3
1460,7.780721664,4.891468048,168236,11,4
1457,7.784553051,5.041453838,168271,11,4
1494,7.777558804,5.016895294,167992,11,4
1478,7.780891895,4.860637188,168514,11,5
5289,7.779642582,4.856364965,168396,11,5
1463,7.776737928,5.294443846,167841,11,5
6580,7.777913332,4.893683672,171254,11,6
4160,7.78010726,4.868338108,170768,11,6
7610,7.776383877,4.885584831,170727,11,6
9570,7.777372837,4.912780046,168621,11,7
9340,7.779878616,4.926945686,168541,11,7
3840,7.779254675,4.883875847,168715,11,7
4510,7.784165859,4.88389802,165240,11,8
5890,7.778356075,4.884327888,165394,11,8
8700,7.779966354,5.046503305,165130,11,8
7540,7.565199375,4.867847919,165153,11,9
5510,7.566542625,4.885825872,165038,11,9
8850,7.569858551,4.864356756,164790,11,9
4580,7.564071178,4.895968676,166494,11,10
4740,7.564225197,4.904428244,166291,11,10
7170,7.566008806,4.871984482,166406,11,10
3790,7.567106962,4.862877131,172093,11,11
