instanceID,sysbench,ycruncher,pgbench,iperf,setId,tenants
i-0977cb2af690d36fd,9.05804626144444,6.43211420366666,126133.333333333,1389.4,47,47
i-09c658651b17c197e,9.04722240244444,6.57624491066666,122291,1036.4,47,47
i-0aecb3d1daeccc874,9.04795262544444,6.61454155722222,125058,1178.2,47,47
i-0b138e3642a677559,9.05093532144444,6.39676568222222,122998.333333333,1088.5,47,47
i-0b3a38b18367faa71,9.048381408,6.38951730733333,123844.666666666,1375.2,47,47
i-0ba417327f988ba2b,9.05725616877777,6.56308711888889,122896,1156.8,47,47
i-0bfaa8f4e041c36fa,9.04825033066666,6.533539878,123704,1150.2,47,47
i-0c3e9f9e7b281edfe,9.05051607566666,6.54164282477777,126649.666666666,937.2,47,47
i-0cc4b604b837f69d9,9.04878298444444,6.405739069,123066,1052.3,47,47
i-0d136c81f43ce8a29,9.04932509533333,6.48983171244444,124849.333333333,1266,47,47
i-0d1c421d52c368b29,9.04779484522222,6.56128915155555,122588,1073,47,47
i-0d44050a4e6a71d7c,9.04737552011111,6.59722929555555,123700,972,47,47
i-0d6feb91baa545931,9.05691379977778,6.502318965,121857.666666666,1132,47,47
i-0d75b8bf3603b2040,9.05564697588889,6.42637093866666,123772,1054.4,47,47
i-0dcfa6d3bc470d28d,9.051319599,6.42962956444444,124550.666666666,1069.8,47,47
i-0e167bbfcd6a685f5,9.05019712433333,6.53095920877777,124012.666666666,1090.7,47,47
i-0ede59d8254436a40,9.04647853644444,6.40306798622222,125163,1281,47,47
i-0f285214d5c41327e,9.05070050566666,6.491168552,125052.666666666,1046.3,47,47
i-0f472084ac3992ad9,9.06086068677777,6.52724374655555,126058.333333333,1142.8,47,47
i-0009b7735dea24732,9.05457904599999,6.35343615222222,126450.666666666,1139.5,46,46
i-002f7e27ea3e0bc1c,9.04512029222222,6.35062154144444,123215.333333333,1239.8,46,46
i-007e12c9530b8cdea,9.06746806033333,6.38274086855555,122515.333333333,1034.6,46,46
i-008e6f72c7403b5d3,9.04215810011111,6.354813099,127146.333333333,1124.7,46,46
i-00ba7a56c944e5a25,9.05446330688888,6.55326069744444,126584.666666666,1440.3,46,46
i-00d71d40b42658392,9.04204034811111,6.358044068,123655.333333333,1017.2,46,46
i-01f539b055c2a5d34,9.051512162,6.30547613566666,126836,1111.6,46,46
i-0243a74ede206f760,9.05649632877777,6.36476956466666,126725.666666666,938.2,46,46
i-02765ba82e12781a4,9.04446559477777,6.55247320066666,123554,1198.1,46,46
i-02ca0e36a4acaf9fc,9.04302631488888,6.37420434433333,124641,1229,46,46
i-040dfb2d2a1990b9d,9.04323045422222,6.37060930977777,123902,897.8,46,46
i-048c3c6548c1a414a,9.04800351455555,6.57862077833333,125962,1332.1,46,46
i-0507566c757134fb6,9.05448547999999,6.52718191677777,124209.666666666,1348.8,46,46
i-05e473f8ff82c1527,9.05563900211111,6.36432817244444,125899,1015.6,46,46
i-067b2519b614c8f9d,9.04189480677777,6.36168106399999,123145,1125.3,46,46
i-06b96f53253b4cc2e,9.04560756677778,6.52873606155555,124580.333333333,1052.8,46,46
