instanceID,instanceType,experimentID,interval,bandwidthUpload,bandwitdhDownload,setId,vmId,cmd,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,550 Mbits/sec,445 Mbits/sec,10,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,475 Mbits/sec,499 Mbits/sec,10,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,475 Mbits/sec,486 Mbits/sec,10,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,549 Mbits/sec,331 Mbits/sec,11,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,475 Mbits/sec,338 Mbits/sec,11,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,475 Mbits/sec,364 Mbits/sec,11,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,551 Mbits/sec,295 Mbits/sec,12,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,476 Mbits/sec,245 Mbits/sec,12,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,477 Mbits/sec,247 Mbits/sec,12,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,521 Mbits/sec,233 Mbits/sec,13,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,507 Mbits/sec,253 Mbits/sec,13,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,265 Mbits/sec,470 Mbits/sec,13,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,489 Mbits/sec,243 Mbits/sec,14,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,482 Mbits/sec,247 Mbits/sec,14,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,490 Mbits/sec,251 Mbits/sec,14,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,452 Mbits/sec,251 Mbits/sec,15,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,441 Mbits/sec,235 Mbits/sec,15,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,450 Mbits/sec,206 Mbits/sec,15,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,421 Mbits/sec,217 Mbits/sec,16,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,423 Mbits/sec,219 Mbits/sec,16,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,419 Mbits/sec,227 Mbits/sec,16,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-0911d3bab57b9f6e9,c3.large,1540010941,15.0 sec,547 Mbits/sec,548 Mbits/sec,2,2,iperf -c 18.215.251.1 --dualtest --window 416k --time 15 ,,,,
i-0911d3bab57b9f6e9,c3.large,1540010941,15.0 sec,472 Mbits/sec,472 Mbits/sec,2,2,iperf -c 18.215.251.1 --dualtest --window 416k --time 15 ,,,,
i-0911d3bab57b9f6e9,c3.large,1540010941,15.0 sec,471 Mbits/sec,473 Mbits/sec,2,2,iperf -c 18.215.251.1 --dualtest --window 416k --time 15 ,,,,
i-0911d3bab57b9f6e9,c3.large,1540010941,15.0 sec,547 Mbits/sec,546 Mbits/sec,3,2,iperf -c 18.215.251.1 --dualtest --window 416k --time 15 ,,,,
i-0911d3bab57b9f6e9,c3.large,1540010941,15.0 sec,472 Mbits/sec,474 Mbits/sec,3,2,iperf -c 18.215.251.1 --dualtest --window 416k --time 15 ,,,,
i-0911d3bab57b9f6e9,c3.large,1540010941,15.0 sec,474 Mbits/sec,472 Mbits/sec,3,2,iperf -c 18.215.251.1 --dualtest --window 416k --time 15 ,,,,
i-0911d3bab57b9f6e9,c3.large,1540010941,15.0 sec,547 Mbits/sec,546 Mbits/sec,4,2,iperf -c 18.215.251.1 --dualtest --window 416k --time 15 ,,,,
