"","instanceID","testStartTime","computationTime","benchmarkTime","wallTime","set","vmID"
"256","i-09beebdc6ecc05b02","Thu May 17 06:53:44 2018",7.709,7.915,8.3558292388916,1,16
"257","i-09beebdc6ecc05b02","Thu May 17 06:53:52 2018",7.651,7.862,8.30591630935669,1,16
"258","i-09beebdc6ecc05b02","Thu May 17 06:54:01 2018",7.643,7.849,8.28819680213928,1,16
"259","i-09beebdc6ecc05b02","Thu May 17 06:54:10 2018",7.649,7.855,8.29834246635437,1,16
"260","i-09beebdc6ecc05b02","Thu May 17 06:54:18 2018",7.634,7.842,8.27521657943726,1,16
"121","i-0660afc63b4ed7acc","Thu May 17 06:56:01 2018",7.434,7.606,8.21424460411072,2,2
"122","i-0660afc63b4ed7acc","Thu May 17 06:56:10 2018",7.424,7.642,8.09711217880249,2,2
"123","i-0660afc63b4ed7acc","Thu May 17 06:56:18 2018",7.439,7.644,8.10267782211304,2,2
"124","i-0660afc63b4ed7acc","Thu May 17 06:56:26 2018",7.408,7.614,8.05627846717834,2,2
"125","i-0660afc63b4ed7acc","Thu May 17 06:56:35 2018",7.444,7.649,8.09037327766418,2,2
"126","i-0660afc63b4ed7acc","Thu May 17 06:56:43 2018",7.413,7.617,8.06259393692017,2,2
"127","i-0660afc63b4ed7acc","Thu May 17 06:56:51 2018",7.403,7.606,8.0480363368988,2,2
"128","i-0660afc63b4ed7acc","Thu May 17 06:56:59 2018",7.398,7.604,8.04441285133362,2,2
"129","i-0660afc63b4ed7acc","Thu May 17 06:57:08 2018",7.423,7.629,8.0706741809845,2,2
"130","i-0660afc63b4ed7acc","Thu May 17 06:57:16 2018",7.422,7.624,8.06252479553223,2,2
"231","i-0c33e91978fb82eb9","Thu May 17 06:56:02 2018",7.393,7.561,8.07621788978577,2,3
"232","i-0c33e91978fb82eb9","Thu May 17 06:56:10 2018",7.42,7.64,8.0781934261322,2,3
"233","i-0c33e91978fb82eb9","Thu May 17 06:56:18 2018",7.442,7.651,8.09635043144226,2,3
"234","i-0c33e91978fb82eb9","Thu May 17 06:56:26 2018",7.389,7.596,8.04011797904968,2,3
"235","i-0c33e91978fb82eb9","Thu May 17 06:56:35 2018",7.42,7.627,8.08247542381287,2,3
"236","i-0c33e91978fb82eb9","Thu May 17 06:56:43 2018",7.422,7.633,8.07054972648621,2,3
"237","i-0c33e91978fb82eb9","Thu May 17 06:56:51 2018",7.384,7.587,8.02521681785583,2,3
"238","i-0c33e91978fb82eb9","Thu May 17 06:57:00 2018",7.391,7.603,8.04525399208069,2,3
"239","i-0c33e91978fb82eb9","Thu May 17 06:57:08 2018",7.398,7.606,8.04662799835205,2,3
"240","i-0c33e91978fb82eb9","Thu May 17 06:57:16 2018",7.406,7.617,8.05476450920105,2,3
"901","i-09cc246792e9684ad","Thu May 17 06:56:01 2018",7.644,7.839,8.2827455997467,2,4
"902","i-09cc246792e9684ad","Thu May 17 06:56:10 2018",7.715,7.955,8.4025444984436,2,4
"903","i-09cc246792e9684ad","Thu May 17 06:56:18 2018",7.684,7.919,8.37381958961487,2,4
"904","i-09cc246792e9684ad","Thu May 17 06:56:27 2018",7.649,7.882,8.34283208847046,2,4
"905","i-09cc246792e9684ad","Thu May 17 06:56:35 2018",7.648,7.883,8.34027075767517,2,4
"906","i-09cc246792e9684ad","Thu May 17 06:56:44 2018",7.622,7.853,8.30596470832825,2,4
"907","i-09cc246792e9684ad","Thu May 17 06:56:52 2018",7.653,7.892,8.34638953208923,2,4
"908","i-09cc246792e9684ad","Thu May 17 06:57:01 2018",7.625,7.856,8.31671786308289,2,4
"909","i-09cc246792e9684ad","Thu May 17 06:57:10 2018",7.626,7.862,8.31294512748718,2,4
"910","i-09cc246792e9684ad","Thu May 17 06:57:18 2018",7.549,7.776,8.22327160835266,2,4
"1041","i-03db1fbbbb0d01b41","Thu May 17 06:56:01 2018",7.408,7.567,8.01270794868469,2,5
"1042","i-03db1fbbbb0d01b41","Thu May 17 06:56:09 2018",7.444,7.682,8.12894463539124,2,5
"1043","i-03db1fbbbb0d01b41","Thu May 17 06:56:18 2018",7.425,7.657,8.11043691635132,2,5
"1044","i-03db1fbbbb0d01b41","Thu May 17 06:56:26 2018",7.43,7.663,8.11190366744995,2,5
"1045","i-03db1fbbbb0d01b41","Thu May 17 06:56:34 2018",7.432,7.666,8.12049913406372,2,5
"1046","i-03db1fbbbb0d01b41","Thu May 17 06:56:43 2018",7.416,7.653,8.10060930252075,2,5
"1047","i-03db1fbbbb0d01b41","Thu May 17 06:56:51 2018",7.416,7.654,8.1067271232605,2,5
"1048","i-03db1fbbbb0d01b41","Thu May 17 06:56:59 2018",7.421,7.658,8.10868000984192,2,5
"1049","i-03db1fbbbb0d01b41","Thu May 17 06:57:08 2018",7.413,7.652,8.10418367385864,2,5
"1050","i-03db1fbbbb0d01b41","Thu May 17 06:57:16 2018",7.423,7.66,8.10610055923462,2,5
"421","i-065b552453939011e","Thu May 17 06:56:01 2018",7.698,7.872,8.36199569702148,2,6
"422","i-065b552453939011e","Thu May 17 06:56:10 2018",7.797,8.04,8.5095911026001,2,6
"423","i-065b552453939011e","Thu May 17 06:56:18 2018",7.754,8.038,8.50616455078125,2,6
"424","i-065b552453939011e","Thu May 17 06:56:27 2018",7.692,7.937,8.39924883842468,2,6
"425","i-065b552453939011e","Thu May 17 06:56:36 2018",7.699,7.938,8.40128755569458,2,6
"426","i-065b552453939011e","Thu May 17 06:56:44 2018",7.684,7.925,8.38625907897949,2,6
"427","i-065b552453939011e","Thu May 17 06:56:53 2018",7.69,7.939,8.40232491493225,2,6
"428","i-065b552453939011e","Thu May 17 06:57:02 2018",7.683,7.926,8.39040184020996,2,6
"429","i-065b552453939011e","Thu May 17 06:57:10 2018",7.669,7.914,8.37684440612793,2,6
"430","i-065b552453939011e","Thu May 17 06:57:19 2018",7.644,7.891,8.3520975112915,2,6
"1301","i-07aa0b29b97d2dc42","Thu May 17 06:56:01 2018",7.683,7.844,8.30078172683716,2,7
"1302","i-07aa0b29b97d2dc42","Thu May 17 06:56:09 2018",7.785,8.021,8.4793872833252,2,7
"1303","i-07aa0b29b97d2dc42","Thu May 17 06:56:18 2018",7.764,7.99,8.4655396938324,2,7
"1304","i-07aa0b29b97d2dc42","Thu May 17 06:56:27 2018",7.702,7.93,8.39243507385254,2,7
"1305","i-07aa0b29b97d2dc42","Thu May 17 06:56:35 2018",7.707,7.939,8.40004181861877,2,7
"1306","i-07aa0b29b97d2dc42","Thu May 17 06:56:44 2018",7.693,7.918,8.38122892379761,2,7
"1307","i-07aa0b29b97d2dc42","Thu May 17 06:56:53 2018",7.738,7.966,8.4272472858429,2,7
"1308","i-07aa0b29b97d2dc42","Thu May 17 06:57:01 2018",7.704,7.932,8.39400243759155,2,7
"1309","i-07aa0b29b97d2dc42","Thu May 17 06:57:10 2018",7.7,7.926,8.39024424552917,2,7
"1310","i-07aa0b29b97d2dc42","Thu May 17 06:57:19 2018",7.667,7.904,8.36264371871948,2,7
"1101","i-04fc25b74e71a9452","Thu May 17 06:56:01 2018",7.437,7.602,8.0640983581543,2,8
"1102","i-04fc25b74e71a9452","Thu May 17 06:56:10 2018",7.453,7.694,8.16350650787354,2,8
"1103","i-04fc25b74e71a9452","Thu May 17 06:56:18 2018",7.446,7.677,8.14813375473022,2,8
"1104","i-04fc25b74e71a9452","Thu May 17 06:56:27 2018",7.426,7.654,8.13609170913696,2,8
"1105","i-04fc25b74e71a9452","Thu May 17 06:56:35 2018",7.418,7.643,8.11123466491699,2,8
"1106","i-04fc25b74e71a9452","Thu May 17 06:56:44 2018",7.422,7.649,8.12449264526367,2,8
"1107","i-04fc25b74e71a9452","Thu May 17 06:56:52 2018",7.426,7.654,8.12619304656982,2,8
"1108","i-04fc25b74e71a9452","Thu May 17 06:57:00 2018",7.437,7.666,8.13082075119019,2,8
"1109","i-04fc25b74e71a9452","Thu May 17 06:57:09 2018",7.417,7.643,8.10754919052124,2,8
"1110","i-04fc25b74e71a9452","Thu May 17 06:57:17 2018",7.393,7.619,8.07821273803711,2,8
"141","i-09460d17936533b36","Thu May 17 06:56:02 2018",7.383,7.55,8.06607222557068,2,9
"142","i-09460d17936533b36","Thu May 17 06:56:10 2018",7.398,7.605,8.04680061340332,2,9
"143","i-09460d17936533b36","Thu May 17 06:56:18 2018",7.397,7.607,8.04981017112732,2,9
"144","i-09460d17936533b36","Thu May 17 06:56:27 2018",7.381,7.59,8.03575539588928,2,9
"145","i-09460d17936533b36","Thu May 17 06:56:35 2018",7.396,7.598,8.05621552467346,2,9
"146","i-09460d17936533b36","Thu May 17 06:56:43 2018",7.388,7.591,8.0297064781189,2,9
"147","i-09460d17936533b36","Thu May 17 06:56:51 2018",7.388,7.595,8.03467154502869,2,9
"148","i-09460d17936533b36","Thu May 17 06:57:00 2018",7.378,7.589,8.03311729431152,2,9
"149","i-09460d17936533b36","Thu May 17 06:57:08 2018",7.375,7.583,8.02456903457642,2,9
"150","i-09460d17936533b36","Thu May 17 06:57:16 2018",7.383,7.587,8.02736639976501,2,9
"941","i-0766f4e34cd7a2806","Thu May 17 06:56:01 2018",7.372,7.535,8.05033183097839,2,10
"942","i-0766f4e34cd7a2806","Thu May 17 06:56:10 2018",7.407,7.617,8.06229257583618,2,10
"943","i-0766f4e34cd7a2806","Thu May 17 06:56:18 2018",7.389,7.594,8.04813575744629,2,10
"944","i-0766f4e34cd7a2806","Thu May 17 06:56:26 2018",7.373,7.58,8.03125810623169,2,10
"945","i-0766f4e34cd7a2806","Thu May 17 06:56:35 2018",7.404,7.621,8.06032347679138,2,10
"946","i-0766f4e34cd7a2806","Thu May 17 06:56:43 2018",7.383,7.59,8.03022694587708,2,10
"947","i-0766f4e34cd7a2806","Thu May 17 06:56:51 2018",7.388,7.594,8.03002285957336,2,10
"948","i-0766f4e34cd7a2806","Thu May 17 06:56:59 2018",7.377,7.581,8.01948523521423,2,10
"949","i-0766f4e34cd7a2806","Thu May 17 06:57:07 2018",7.361,7.565,8.00182819366455,2,10
"950","i-0766f4e34cd7a2806","Thu May 17 06:57:16 2018",7.362,7.564,8.000079870224,2,10
"11","i-0e2f3174a206a8fd8","Thu May 17 06:56:01 2018",7.692,7.857,8.29492855072021,2,11
"12","i-0e2f3174a206a8fd8","Thu May 17 06:56:10 2018",7.797,8.008,8.45211577415466,2,11
"13","i-0e2f3174a206a8fd8","Thu May 17 06:56:19 2018",7.777,7.991,8.42870736122131,2,11
"14","i-0e2f3174a206a8fd8","Thu May 17 06:56:27 2018",7.713,7.922,8.35670733451843,2,11
"15","i-0e2f3174a206a8fd8","Thu May 17 06:56:36 2018",7.725,7.936,8.37436532974243,2,11
"16","i-0e2f3174a206a8fd8","Thu May 17 06:56:44 2018",7.718,7.93,8.36651062965393,2,11
"17","i-0e2f3174a206a8fd8","Thu May 17 06:56:53 2018",7.738,7.95,8.39273715019226,2,11
"18","i-0e2f3174a206a8fd8","Thu May 17 06:57:02 2018",7.737,7.946,8.38512182235718,2,11
"19","i-0e2f3174a206a8fd8","Thu May 17 06:57:10 2018",7.697,7.915,8.36279797554016,2,11
"20","i-0e2f3174a206a8fd8","Thu May 17 06:57:19 2018",7.699,7.919,8.35987424850464,2,11
"1181","i-09172c03c58b3f6b2","Thu May 17 06:56:01 2018",7.662,7.829,8.38071036338806,2,12
"1182","i-09172c03c58b3f6b2","Thu May 17 06:56:10 2018",7.734,7.949,8.39643573760986,2,12
"1183","i-09172c03c58b3f6b2","Thu May 17 06:56:18 2018",7.723,7.932,8.37538242340088,2,12
"1184","i-09172c03c58b3f6b2","Thu May 17 06:56:27 2018",7.666,7.871,8.30854320526123,2,12
"1185","i-09172c03c58b3f6b2","Thu May 17 06:56:35 2018",7.671,7.882,8.32298445701599,2,12
"1186","i-09172c03c58b3f6b2","Thu May 17 06:56:44 2018",7.665,7.868,8.30726289749146,2,12
"1187","i-09172c03c58b3f6b2","Thu May 17 06:56:53 2018",7.712,7.917,8.35911250114441,2,12
"1188","i-09172c03c58b3f6b2","Thu May 17 06:57:01 2018",7.661,7.868,8.31223440170288,2,12
"1189","i-09172c03c58b3f6b2","Thu May 17 06:57:10 2018",7.667,7.882,8.32668089866638,2,12
"1190","i-09172c03c58b3f6b2","Thu May 17 06:57:18 2018",7.651,7.862,8.30861592292786,2,12
"481","i-00009adade1b31e7b","Thu May 17 06:56:01 2018",7.669,7.84,8.35173368453979,2,13
"482","i-00009adade1b31e7b","Thu May 17 06:56:10 2018",7.753,7.966,8.40667486190796,2,13
"483","i-00009adade1b31e7b","Thu May 17 06:56:18 2018",7.706,7.912,8.35767221450806,2,13
"484","i-00009adade1b31e7b","Thu May 17 06:56:27 2018",7.651,7.866,8.30594706535339,2,13
"485","i-00009adade1b31e7b","Thu May 17 06:56:35 2018",7.64,7.851,8.2964813709259,2,13
"486","i-00009adade1b31e7b","Thu May 17 06:56:44 2018",7.65,7.86,8.31255006790161,2,13
"487","i-00009adade1b31e7b","Thu May 17 06:56:52 2018",7.684,7.897,8.33783626556396,2,13
"488","i-00009adade1b31e7b","Thu May 17 06:57:01 2018",7.658,7.867,8.31401300430298,2,13
"489","i-00009adade1b31e7b","Thu May 17 06:57:09 2018",7.634,7.838,8.28112697601318,2,13
"490","i-00009adade1b31e7b","Thu May 17 06:57:18 2018",7.624,7.832,8.27176332473755,2,13
"611","i-01ecd3a6588e5aa89","Thu May 17 06:56:01 2018",7.653,7.816,8.27559733390808,2,14
"612","i-01ecd3a6588e5aa89","Thu May 17 06:56:10 2018",7.749,7.994,8.459716796875,2,14
"613","i-01ecd3a6588e5aa89","Thu May 17 06:56:19 2018",7.712,7.951,8.40894269943237,2,14
"614","i-01ecd3a6588e5aa89","Thu May 17 06:56:27 2018",7.66,7.895,8.35977721214294,2,14
"615","i-01ecd3a6588e5aa89","Thu May 17 06:56:36 2018",7.649,7.887,8.34711980819702,2,14
"616","i-01ecd3a6588e5aa89","Thu May 17 06:56:45 2018",7.656,7.903,8.36145043373108,2,14
"617","i-01ecd3a6588e5aa89","Thu May 17 06:56:53 2018",7.678,7.923,8.38297462463379,2,14
"618","i-01ecd3a6588e5aa89","Thu May 17 06:57:02 2018",7.648,7.89,8.34995937347412,2,14
"619","i-01ecd3a6588e5aa89","Thu May 17 06:57:10 2018",7.646,7.896,8.3548002243042,2,14
"620","i-01ecd3a6588e5aa89","Thu May 17 06:57:19 2018",7.608,7.854,8.31020712852478,2,14
"751","i-0bb826504330a1f18","Thu May 17 06:56:01 2018",7.702,7.875,8.34368705749512,2,15
"752","i-0bb826504330a1f18","Thu May 17 06:56:10 2018",7.807,8.181,8.66306114196777,2,15
"753","i-0bb826504330a1f18","Thu May 17 06:56:19 2018",7.756,8.004,8.61038279533386,2,15
